ZONA;NOM_LOCALIDADE;NOM_LOCAL;ENDEREÇO_LOCAL;BAIRRO_LOCAL;CEP;NÚMERO DAS SEÇÕES;QTDE. DE SEÇÕES;APTOS
156;FEIRA DE SANTANA;COLÉGIO ESTADUAL WILSON FALCÃO;RUA DOS EXPEDICIONÁRIOS, S/N - ZONA URBANA;PEDRA DO DESCANSO;44007270;315,316,317,318,319,320,321,322,323;9;3783
156;FEIRA DE SANTANA;COLÉGIO ESTADUAL DR. JAIR SANTOS SILVA;AV TOMÉ DE SOUZA, S/N, CONJUNTO FEIRA IX - ZONA URBANA;CALUMBI;44009005;324,325,326,327,328,329,330,331,408;9;3775
156;FEIRA DE SANTANA;ESCOLA MUNICIPAL OTAVIANO FERREIRA CAMPOS;RUA SANTANA, S/N - ZONA URBANA;NOVO HORIZONTE;44031470;332,333,334,335,336,337,402;7;2347
156;FEIRA DE SANTANA;ESCOLA MUNICIPAL THELMA CARNEIRO;RUA P, CAM B-XXII, S/N, FEIRA X - ZONA URBANA;MUCHILA;44006100;341,342,343,344;4;1579
156;FEIRA DE SANTANA;ESCOLA MUNICIPAL PROFA. MARÍLIA QUEIROZ DA SILVA;RUA TEFÉ, 35 - ZONA URBANA;NOVA ESPERANÇA;44019850;345,346,347;3;1090
156;FEIRA DE SANTANA;UEFS - UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA;AVENIDA TRANSNORDESTINA, S/N - ZONA URBANA;NOVO HORIZONTE;44036900;348,349,351,470;4;1702
156;FEIRA DE SANTANA;COLÉGIO ESTADUAL JOSÉ FERREIRA PINTO;RUA J, S/N  -  CONJUNTO FEIRA VI - ZONA URBANA;CAMPO LIMPO;44026000;353,354,355,356,357,358,359,360,361,362,363,390,410,427,439;15;5667
156;FEIRA DE SANTANA;COLÉGIO ESTADUAL ERNESTO CARNEIRO RIBEIRO;RUA A, S/N, FEIRA IV - ZONA URBANA;CALUMBI;44008010;364,365,366,367,368,369,370,371,372,373,388,392,399,407;14;5901
156;FEIRA DE SANTANA;ESCOLA MUNICIPAL ANA MARIA ALVES DOS SANTOS;RUA  A, S/N, FEIRA X - ZONA URBANA;MUCHILA;44006170;374,375,376,377,378,379,380,381,382,383,384,385,386,387;14;5917
156;FEIRA DE SANTANA;ESCOLA MUNICIPAL PROFESSORA ELI QUEIROZ DE OLIVEIRA;AVENIDA HOMERO FIGUEIREDO, 100 - ZONA URBANA;GABRIELA;44028354;393,401,411,414,419,424,430,434,447,451,456;11;4612
156;FEIRA DE SANTANA;ESCOLA MUNICIPAL PROFESSOR CARLOS ALBERTO DO CARMO;RUA E, S/N - CONJUNTO FEIRA IX - ZONA URBANA;CALUMBI;44009310;417,422,431,436,455,459,462,466;8;3380
156;FEIRA DE SANTANA;ESCOLA MUNICIPAL JACIRA ALMEIDA SANTOS;RUA C, S/N, CONJUNTO FEIRA IV - ZONA URBANA;CALUMBI;44008090;437,443,445,450;4;1691
156;FEIRA DE SANTANA;CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL HUGO NAVARRO SILVA;RUA CONDOR, S/N, FEIRA X - ZONA URBANA;MUCHILA;44005686;338,339,340,448,452,457,458,460;8;2742
156;FEIRA DE SANTANA;ESCOLA MUNICIPAL ARTHUR MARTINS DA SILVA;ESTRADA PEDRA FERRADA - ZONA URBANA;PEDRA FERRADA;44037310;463,471;2;627
156;FEIRA DE SANTANA;ESCOLA MUNICIPAL DRA. MARGARIDA LISBOA DE OLIVEIRA;RUA BRAVO, S/N - ZONA URBANA;GABRIELA;44028300;461,465,468,472;4;1378
156;FEIRA DE SANTANA;ESCOLA MUNICIPAL FABÍOLA VITAL;RUA JORGE CERQUEIRA MASCARENHAS, S/N - ZONA URBANA;CAMPO LIMPO;44032356;464,467,469,473;4;1467
157;FEIRA DE SANTANA;COLÉGIO ESTADUAL DE FEIRA DE SANTANA;RUA JURACY MAGALHÃES JÚNIOR, S/N - ZONA URBANA;CENTRO;44001360;1,3,5,7,9,11,13,15,17;9;2621
157;FEIRA DE SANTANA;INSTITUTO DE EDUCAÇÃO GASTÃO GUIMARÃES;AV SAMPAIO, S/N - ZONA URBANA;CENTRO;44001472;29,31,33,35,37,39,41,43,45,47,48,49,50,51,409;15;4686
157;FEIRA DE SANTANA;COLÉGIO ESTADUAL JOÃO BARBOSA DE CARVALHO;RUA FARMACEUTICO JOSÉ ALVES, 484 (TANQUE DA NAÇÃO ) - ZONA URBANA;CENTRO;44002844;57,59,61,63,193,215,266,284,410;9;2790
157;FEIRA DE SANTANA;CENTRO UNIVERSITÁRIO DE CULTURA E ARTE - CUCA;RUA CONSELHEIRO FRANCO, N 66 - ZONA URBANA;CENTRO;44002128;68,70,71,72;4;1597
157;FEIRA DE SANTANA;ESCOLA DE 1º GRAU ERNESTINA CARNEIRO;RUA COELHO NETO, S/N - ZONA URBANA;RUA NOVA;44023216;73,74,75,76,77,78,79,80,81,82;10;3922
157;FEIRA DE SANTANA;ESCOLA MUNICIPAL TEREZA CUNHA SANTANA;AV TOMÉ DE SOUZA, SN - ZONA URBANA;RUA NOVA;44023684;86,87,88,89,90,91,92,93;8;1825
157;FEIRA DE SANTANA;ESCOLA PAULO VI;RUA ESTAÇÃO DE AVICULTURA, S/N - ZONA URBANA;AVIÁRIO;44100000;116,117,118,119,120,121,122,190,210,246;10;4185
157;FEIRA DE SANTANA;COLÉGIO ESTADUAL UYARA PORTUGAL;RUA SALMO 39, S/N - ZONA URBANA;FRATERNIDADE;44092636;123,124,125,126,127,128,129,178,186,192,220,226,234,245,255,261,267;17;6733
